platform,workload,run_id,invocation_id,mem_limit_mb,cold_start,concurrency,queue_delay_ms,duration_ms,cpu_time_ms,rss_mb,peak_rss_mb,io_read_bytes,io_write_bytes,energy_joules
docker_ubuntu22_on_ubuntu20,cpuintensive,b9c81271-44a5-4ee7-aa4e-40a05b98907e,d03d2daa-cf1f-42ed-a7f7-9d4c81a54325,128,True,1,0,1150.0,1150.0,7.6875,7.6875,0,0,29.64183
docker_ubuntu22_on_ubuntu20,cpuintensive,b9c81271-44a5-4ee7-aa4e-40a05b98907e,d5c3ab1c-f3f4-43a2-80fb-eeb112a6adce,128,False,1,0,1150.0,1150.0,7.796875,7.796875,0,0,24.408202
docker_ubuntu22_on_ubuntu20,cpuintensive,b9c81271-44a5-4ee7-aa4e-40a05b98907e,458b6d60-0fa5-4d41-a4a0-9b4ac806bfa7,128,False,1,0,1160.0,1160.0,7.8203125,7.8203125,0,0,26.006037
docker_ubuntu22_on_ubuntu20,cpuintensive,b9c81271-44a5-4ee7-aa4e-40a05b98907e,5f45f1b9-2db7-49aa-bbb4-b727d37b3d52,128,False,1,0,1150.0,1150.0,7.8671875,7.8671875,0,0,28.025075
docker_ubuntu22_on_ubuntu20,cpuintensive,b9c81271-44a5-4ee7-aa4e-40a05b98907e,c5c911fd-8dec-45f4-82e4-dcf4b3a35dda,128,False,1,0,1170.0,1170.0,7.83203125,7.83203125,0,0,28.362354
docker_ubuntu22_on_ubuntu20,cpuintensive,e21b7ec3-8d39-439c-b220-8ec835520090,8e26523d-e306-48d1-af58-5ec415065a1a,256,True,1,0,1150.0,1150.0,7.84765625,7.84765625,0,0,37.484706
docker_ubuntu22_on_ubuntu20,cpuintensive,e21b7ec3-8d39-439c-b220-8ec835520090,1959fae9-9b76-4abc-afa1-078a55eca993,256,False,1,0,1180.0,1180.0,7.80078125,7.80078125,0,0,25.557796
docker_ubuntu22_on_ubuntu20,cpuintensive,e21b7ec3-8d39-439c-b220-8ec835520090,b695a039-5cf4-4c09-a091-c502603108a8,256,False,1,0,1260.0,1250.0,7.83203125,7.83203125,0,0,29.640671
docker_ubuntu22_on_ubuntu20,cpuintensive,e21b7ec3-8d39-439c-b220-8ec835520090,d22e8fc4-362d-4fd9-b5ea-64b4751fb143,256,False,1,0,1150.0,1150.0,7.8046875,7.8046875,0,0,24.789915
docker_ubuntu22_on_ubuntu20,cpuintensive,e21b7ec3-8d39-439c-b220-8ec835520090,980afadd-4214-41f7-8000-6b52ac86c735,256,False,1,0,1190.0,1190.0,7.9140625,7.9140625,0,0,26.171136
docker_ubuntu22_on_ubuntu20,cpuintensive,8681f743-54ee-4d88-8498-b11663135817,669d4ad6-1cdd-4f12-aa12-a23a53d4713e,512,True,1,0,1150.0,1150.0,7.74609375,7.74609375,0,0,29.713425
docker_ubuntu22_on_ubuntu20,cpuintensive,8681f743-54ee-4d88-8498-b11663135817,83b65524-6cec-4d0c-aafd-d2f8fa4d23fb,512,False,1,0,1180.0,1180.0,7.734375,7.734375,0,0,29.61052
docker_ubuntu22_on_ubuntu20,cpuintensive,8681f743-54ee-4d88-8498-b11663135817,5011d8b8-09e8-42de-96c1-08bb13758dbc,512,False,1,0,1210.0,1210.0,7.78515625,7.78515625,0,0,28.009022
docker_ubuntu22_on_ubuntu20,cpuintensive,8681f743-54ee-4d88-8498-b11663135817,24bc6075-95aa-4936-8926-db5a183f0121,512,False,1,0,1190.0,1190.0,7.72265625,7.72265625,0,0,25.103146
docker_ubuntu22_on_ubuntu20,cpuintensive,8681f743-54ee-4d88-8498-b11663135817,72c938b5-9548-49dc-a229-4de7e8a49809,512,False,1,0,1210.0,1210.0,7.6640625,7.6640625,0,0,26.991203
